"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 19:00 - 06/11/2025 20:00","230.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 20:00 - 06/11/2025 21:00","230.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 21:00 - 06/11/2025 22:00","230.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 22:00 - 06/11/2025 23:00","205.50",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 23:00 - 07/11/2025 00:00","180.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 00:00 - 06/11/2025 01:00","55.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 01:00 - 06/11/2025 02:00","52.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 02:00 - 06/11/2025 03:00","52.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 03:00 - 06/11/2025 04:00","52.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 04:00 - 06/11/2025 05:00","52.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 05:00 - 06/11/2025 06:00","51.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 06:00 - 06/11/2025 07:00","51.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 07:00 - 06/11/2025 08:00","50.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 08:00 - 06/11/2025 09:00","40.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 09:00 - 06/11/2025 10:00","40.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 10:00 - 06/11/2025 11:00","40.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 11:00 - 06/11/2025 12:00","40.50",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 12:00 - 06/11/2025 13:00","40.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 13:00 - 06/11/2025 14:00","39.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 14:00 - 06/11/2025 15:00","39.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 15:00 - 06/11/2025 16:00","50.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 16:00 - 06/11/2025 17:00","53.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 17:00 - 06/11/2025 18:00","53.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 18:00 - 06/11/2025 19:00","53.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 19:00 - 06/11/2025 20:00","49.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 20:00 - 06/11/2025 21:00","49.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 21:00 - 06/11/2025 22:00","49.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 22:00 - 06/11/2025 23:00","48.75",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","06/11/2025 23:00 - 07/11/2025 00:00","47.50",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 00:00 - 06/11/2025 01:00","227.75",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 01:00 - 06/11/2025 02:00","227.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 02:00 - 06/11/2025 03:00","227.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 03:00 - 06/11/2025 04:00","228.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 04:00 - 06/11/2025 05:00","228.75",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 05:00 - 06/11/2025 06:00","229.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 06:00 - 06/11/2025 07:00","229.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 07:00 - 06/11/2025 08:00","229.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 08:00 - 06/11/2025 09:00","226.50",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 09:00 - 06/11/2025 10:00","224.50",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 10:00 - 06/11/2025 11:00","223.50",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 11:00 - 06/11/2025 12:00","221.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 12:00 - 06/11/2025 13:00","220.75",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 13:00 - 06/11/2025 14:00","218.50",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 14:00 - 06/11/2025 15:00","218.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 15:00 - 06/11/2025 16:00","218.75",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 16:00 - 06/11/2025 17:00","220.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 17:00 - 06/11/2025 18:00","222.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 18:00 - 06/11/2025 19:00","224.50",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 19:00 - 06/11/2025 20:00","225.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 20:00 - 06/11/2025 21:00","226.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 21:00 - 06/11/2025 22:00","226.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 22:00 - 06/11/2025 23:00","226.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","06/11/2025 23:00 - 07/11/2025 00:00","225.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 00:00 - 06/11/2025 01:00","42.27",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 01:00 - 06/11/2025 02:00","42.40",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 02:00 - 06/11/2025 03:00","42.50",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 03:00 - 06/11/2025 04:00","42.50",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 04:00 - 06/11/2025 05:00","42.27",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 05:00 - 06/11/2025 06:00","42.17",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 06:00 - 06/11/2025 07:00","66.90",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 07:00 - 06/11/2025 08:00","79.83",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 08:00 - 06/11/2025 09:00","75.47",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 09:00 - 06/11/2025 10:00","56.35",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 10:00 - 06/11/2025 11:00","70.80",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 11:00 - 06/11/2025 12:00","74.45",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 12:00 - 06/11/2025 13:00","72.38",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 13:00 - 06/11/2025 14:00","70.05",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 14:00 - 06/11/2025 15:00","74.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 15:00 - 06/11/2025 16:00","74.53",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 16:00 - 06/11/2025 17:00","78.33",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 17:00 - 06/11/2025 18:00","78.25",""
