"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 10:00 - 08/11/2025 11:00","87.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 11:00 - 08/11/2025 12:00","87.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 12:00 - 08/11/2025 13:00","79.25",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 13:00 - 08/11/2025 14:00","79.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 14:00 - 08/11/2025 15:00","79.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 15:00 - 08/11/2025 16:00","79.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 16:00 - 08/11/2025 17:00","79.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 17:00 - 08/11/2025 18:00","79.25",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 18:00 - 08/11/2025 19:00","82.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 19:00 - 08/11/2025 20:00","82.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 20:00 - 08/11/2025 21:00","82.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 21:00 - 08/11/2025 22:00","82.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 22:00 - 08/11/2025 23:00","83.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 23:00 - 09/11/2025 00:00","87.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 00:00 - 08/11/2025 01:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 01:00 - 08/11/2025 02:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 02:00 - 08/11/2025 03:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 03:00 - 08/11/2025 04:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 04:00 - 08/11/2025 05:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 05:00 - 08/11/2025 06:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 06:00 - 08/11/2025 07:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 07:00 - 08/11/2025 08:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 08:00 - 08/11/2025 09:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 09:00 - 08/11/2025 10:00","224.75",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 10:00 - 08/11/2025 11:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 11:00 - 08/11/2025 12:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 12:00 - 08/11/2025 13:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 13:00 - 08/11/2025 14:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 14:00 - 08/11/2025 15:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 15:00 - 08/11/2025 16:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 16:00 - 08/11/2025 17:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 17:00 - 08/11/2025 18:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 18:00 - 08/11/2025 19:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 19:00 - 08/11/2025 20:00","224.75",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 20:00 - 08/11/2025 21:00","224.25",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 21:00 - 08/11/2025 22:00","224.25",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 22:00 - 08/11/2025 23:00","224.25",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Mitte GUD","11WD8MITT5GGUD-8","Fossil Gas","11WD8MITT5GGUD-8","08/11/2025 23:00 - 09/11/2025 00:00","225.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 00:00 - 08/11/2025 01:00","1.00",""
